Year,Watershed,Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea,ElevB
2011,1,4,1,BEPA,11,246,6757,11.9,5,13.33,1.71,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,247,6758,27.4,0,234.67,78.99,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,248,6759,15.9,5,27.28,3.54,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,249,6760,19.3,4,132.09,9.69,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,250,6761,14.4,5,21.42,2.77,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,251,6762,13.4,0,51.91,18.27,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,252,6763,12.5,0,44.71,15.79,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,253,6764,16.2,0,77.89,27.14,1.00,625.00,0.00,H
2011,1,4,1,BEAL,3,254,6765,25.2,4,259.86,19.05,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,255,6766,14.8,0,52.67,19.02,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,256,6767,16.9,0,73.25,25.43,1.00,625.00,0.00,H
2011,1,4,1,BEPA,11,257,6768,16.5,5,29.84,3.88,1.00,625.00,0.00,H
2011,1,4,1,BEAL,3,258,6769,23.1,5,68.38,9.02,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,259,6771,21.0,0,126.65,41.07,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,260,6772,21.1,5,33.45,5.90,1.00,625.00,0.00,H
2011,1,4,1,BEAL,3,261,6773,26.0,4,280.41,20.55,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,262,6774,12.8,0,47.05,16.60,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,263,6775,23.4,0,169.25,57.61,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,264,6776,23.6,0,170.58,53.26,1.00,625.00,0.00,H
2011,1,4,1,BEAL,3,265,6777,16.2,0,118.99,25.96,1.00,625.00,0.00,H
2011,1,4,1,BEAL,3,266,6778,29.2,4,370.90,27.15,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,267,8558,11.7,0,29.65,11.44,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,268,8559,11.8,0,30.26,11.65,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,269,8562,10.5,0,22.86,9.07,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,270,8560,10.6,0,31.37,11.16,1.00,625.00,0.00,H
2011,1,4,1,PIRU,10,271,8600,10.7,0,32.01,11.38,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,272,8586,10.2,0,21.33,8.53,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,273,8587,10.2,0,21.33,8.53,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,274,8588,10.2,0,21.33,8.53,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,275,8599,11.5,0,28.44,11.02,1.00,625.00,0.00,H
2011,1,4,1,ABBA,9,276,8589,11.7,0,29.65,11.44,1.00,625.00,0.00,H
